Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name
ENSG00000120899,ENSG00000120899.18,ENST00000397501,ENST00000397501.5,PTK2B
ENSG00000153046,ENSG00000153046.18,ENST00000397588,ENST00000397588.8,CDYL
ENSG00000129472,ENSG00000129472.15,ENST00000397762,ENST00000397762.6,RAB2B
ENSG00000154928,ENSG00000154928.19,ENST00000398015,ENST00000398015.8,EPHB1
ENSG00000155974,ENSG00000155974.14,ENST00000398016,ENST00000398016.7,GRIP1
ENSG00000073969,ENSG00000073969.19,ENST00000398238,ENST00000398238.8,NSF
ENSG00000214415,ENSG00000214415.4,ENST00000398291,ENST00000398291.4,GNAT3
ENSG00000157601,ENSG00000157601.15,ENST00000398600,ENST00000398600.6,MX1
ENSG00000119471,ENSG00000119471.15,ENST00000398805,ENST00000398805.8,HSDL2
ENSG00000146122,ENSG00000146122.17,ENST00000398904,ENST00000398904.6,DAAM2
ENSG00000243927,ENSG00000243927.6,ENST00000399312,ENST00000399312.3,MRPS6
ENSG00000095015,ENSG00000095015.6,ENST00000399503,ENST00000399503.4,MAP3K1
ENSG00000067900,ENSG00000067900.9,ENST00000399799,ENST00000399799.3,ROCK1
ENSG00000215375,ENSG00000215375.7,ENST00000400159,ENST00000400159.7,MYL5
ENSG00000113163,ENSG00000113163.19,ENST00000405807,ENST00000405807.10,CERT1
ENSG00000157833,ENSG00000157833.13,ENST00000401533,ENST00000401533.7,GAREM2
ENSG00000115904,ENSG00000115904.15,ENST00000402219,ENST00000402219.8,SOS1
ENSG00000218823,ENSG00000218823.2,ENST00000404991,ENST00000404991.2,PAPOLB
ENSG00000068796,ENSG00000068796.19,ENST00000407818,ENST00000407818.8,KIF2A
ENSG00000152700,ENSG00000152700.14,ENST00000402673,ENST00000402673.7,SAR1B
ENSG00000152689,ENSG00000152689.18,ENST00000402538,ENST00000402538.7,RASGRP3
ENSG00000115459,ENSG00000115459.18,ENST00000409344,ENST00000409344.7,ELMOD3
ENSG00000155755,ENSG00000155755.20,ENST00000409883,ENST00000409883.7,TMEM237
ENSG00000152291,ENSG00000152291.15,ENST00000409232,ENST00000409232.7,TGOLN2
ENSG00000153165,ENSG00000153165.19,ENST00000409886,ENST00000409886.4,RGPD3
ENSG00000196604,ENSG00000196604.13,ENST00000409914,ENST00000409914.7,POTEF
ENSG00000163017,ENSG00000163017.14,ENST00000409624,ENST00000409624.1,ACTG2
ENSG00000222014,ENSG00000222014.6,ENST00000410061,ENST00000410061.4,RAB6C
ENSG00000036565,ENSG00000036565.15,ENST00000440926,ENST00000440926.3,SLC18A1
ENSG00000226650,ENSG00000226650.6,ENST00000435029,ENST00000435029.6,KIF4B
ENSG00000221983,ENSG00000221983.8,ENST00000442744,ENST00000442744.7,UBA52
ENSG00000241553,ENSG00000241553.13,ENST00000433034,ENST00000433034.1,ARPC4
ENSG00000072958,ENSG00000072958.9,ENST00000444449,ENST00000444449.6,AP1M1
ENSG00000108669,ENSG00000108669.18,ENST00000446868,ENST00000446868.8,CYTH1
ENSG00000198242,ENSG00000198242.14,ENST00000422514,ENST00000422514.7,RPL23A
ENSG00000139644,ENSG00000139644.13,ENST00000423828,ENST00000423828.5,TMBIM6
ENSG00000168028,ENSG00000168028.15,ENST00000443003,ENST00000443003.2,RPSA
ENSG00000143569,ENSG00000143569.20,ENST00000428931,ENST00000428931.6,UBAP2L
ENSG00000119414,ENSG00000119414.12,ENST00000451402,ENST00000451402.5,PPP6C
ENSG00000185825,ENSG00000185825.17,ENST00000458587,ENST00000458587.8,BCAP31
ENSG00000188234,ENSG00000188234.15,ENST00000448048,ENST00000448048.7,AGAP4
ENSG00000196834,ENSG00000196834.14,ENST00000451531,ENST00000451531.7,POTEI
ENSG00000231500,ENSG00000231500.7,ENST00000439602,ENST00000439602.7,RPS18
ENSG00000100360,ENSG00000100360.15,ENST00000433985,ENST00000433985.7,IFT27
ENSG00000133103,ENSG00000133103.17,ENST00000455146,ENST00000455146.8,COG6
ENSG00000106086,ENSG00000106086.21,ENST00000449726,ENST00000449726.6,PLEKHA8
ENSG00000104522,ENSG00000104522.16,ENST00000425753,ENST00000425753.7,GFUS
ENSG00000099901,ENSG00000099901.18,ENST00000430524,ENST00000430524.6,RANBP1
ENSG00000132155,ENSG00000132155.14,ENST00000442415,ENST00000442415.7,RAF1
ENSG00000157106,ENSG00000157106.18,ENST00000446231,ENST00000446231.7,SMG1
ENSG00000134970,ENSG00000134970.14,ENST00000456936,ENST00000456936.4,TMED7
ENSG00000175203,ENSG00000175203.17,ENST00000434715,ENST00000434715.7,DCTN2
ENSG00000223501,ENSG00000223501.9,ENST00000445902,ENST00000445902.3,VPS52
ENSG00000114480,ENSG00000114480.13,ENST00000429644,ENST00000429644.7,GBE1
ENSG00000161204,ENSG00000161204.12,ENST00000429586,ENST00000429586.7,ABCF3
ENSG00000116852,ENSG00000116852.15,ENST00000422435,ENST00000422435.2,KIF21B
ENSG00000079150,ENSG00000079150.19,ENST00000424785,ENST00000424785.7,FKBP7
ENSG00000100284,ENSG00000100284.22,ENST00000411850,ENST00000411850.5,TOM1
ENSG00000167110,ENSG00000167110.19,ENST00000421699,ENST00000421699.8,GOLGA2
ENSG00000111361,ENSG00000111361.13,ENST00000424014,ENST00000424014.7,EIF2B1
ENSG00000130413,ENSG00000130413.16,ENST00000447869,ENST00000447869.5,STK33
ENSG00000128524,ENSG00000128524.5,ENST00000492758,ENST00000492758.1,ATP6V1F
ENSG00000163636,ENSG00000163636.11,ENST00000492933,ENST00000492933.5,PSMD6
ENSG00000164076,ENSG00000164076.17,ENST00000477224,ENST00000477224.6,CAMKV
ENSG00000163602,ENSG00000163602.12,ENST00000477973,ENST00000477973.5,RYBP
ENSG00000125691,ENSG00000125691.14,ENST00000479035,ENST00000479035.7,RPL23
ENSG00000171421,ENSG00000171421.13,ENST00000508987,ENST00000508987.1,MRPL36
ENSG00000186010,ENSG00000186010.19,ENST00000507754,ENST00000507754.9,NDUFA13
ENSG00000249581,ENSG00000249581.2,ENST00000511148,ENST00000511148.2,CLRN2
ENSG00000204628,ENSG00000204628.12,ENST00000512805,ENST00000512805.6,RACK1
ENSG00000137460,ENSG00000137460.10,ENST00000511601,ENST00000511601.6,FHDC1
ENSG00000168078,ENSG00000168078.10,ENST00000522944,ENST00000522944.5,PBK
ENSG00000105339,ENSG00000105339.11,ENST00000519811,ENST00000519811.6,DENND3
ENSG00000115211,ENSG00000115211.17,ENST00000493344,ENST00000493344.6,EIF2B4
ENSG00000008988,ENSG00000008988.11,ENST00000519807,ENST00000519807.5,RPS20
ENSG00000101977,ENSG00000101977.22,ENST00000519895,ENST00000519895.6,MCF2
ENSG00000187091,ENSG00000187091.14,ENST00000463876,ENST00000463876.5,PLCD1
ENSG00000172757,ENSG00000172757.13,ENST00000525451,ENST00000525451.6,CFL1
ENSG00000139998,ENSG00000139998.16,ENST00000533601,ENST00000533601.7,RAB15
ENSG00000110660,ENSG00000110660.15,ENST00000525815,ENST00000525815.6,SLC35F2
