"__mclCluster","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000267101","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000267101",,,,"0.059",,,,"0.453","0.442"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000370408","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000370408","0.098",,,,,,,"0.507","0.476"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000311032","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000311032",,,,,,,,"0.468","0.469"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000334928","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000334928",,,,"0.143",,,,"0.455","0.391"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000362294","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000362294",,,,"0.108",,,,"0.448","0.407"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000269305",,,,,,,,"0.625","0.625"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000275493",,,,"0.059",,,,"0.905","0.902"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000407586","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000407586",,,,"0.057",,,,"0.414","0.405"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000358866","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000358866",,,,"0.057",,,,"0.531","0.523"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000344456","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000344456",,,"0.6","0.172",,,,"0.996","0.989"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000353408","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000353408",,,,"0.073",,,,"0.446","0.427"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000360266",,,,,,,,"0.416","0.417"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000257430","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000257430",,,"0.54",,,,,"0.694","0.363"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000382004","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000382004","0.062",,"0.6","0.163",,,,"0.996","0.989"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000261769","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000261769","0.062",,"0.54",,,,,"0.71","0.383"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000323588","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000323588",,,,,,,,"0.406","0.406"
