"Gene.Symbol","EC53.veh","EC53.fs","EC53.bs","EC53.cbd","EC53.iso","EC268.bs","EC268.veh","EC268.iso","EC268.fs","EC291.veh","EC268.cbd","EC291.fs","EC291.bs","EC291.cbd","EC291.iso"
"NCL",26990.9,23722.8,22994.2,26825.1,26837.8,31548.1,28647.3,32754.3,33448.7,36742.4,23219.7,26738.9,25685.3,25987.3,22109.2
"PGAM1",13974.4,15135.7,15033.1,17796.3,14697.7,13192.4,11402,12079.3,11353.6,10436,12077.4,13263.9,13736.9,13576.8,12058.7
"KRT7",19799.4,19542.5,19873.4,23702.7,21502.5,12129.6,9026.7,9183.5,8200.9,8772.8,6049.3,6096.4,5989.3,5814.3,5938.6
"HNRNPC",28608.7,30532.9,31156.6,26789,29260.1,29333.7,30656.2,41655,28821.6,27242.6,25954.2,20323.9,28548.8,24201.1,22404.1
"ATP5F1A",18752.8,18051.7,17486.8,21261.8,19858.4,17560.9,14771.7,17027.3,16263.8,18558.7,18706.1,21911.1,19972.1,21127.7,20567.9
"HSPA1B",6573.4,6682,6819.1,7853.8,6615.3,6287,5114.1,5850.5,5889.7,6561.1,7054.9,7723,7350,7165.8,6796
"H1-4",45164.8,38049.9,34627.2,38673.4,43642.3,61759.5,59194.2,64119.5,72039.2,75173.4,35344,46462.7,46482.9,44743.8,38178.1
"MYH14",2631.2,2651.3,2415.6,2658.3,2473.8,2271.8,2237.7,2401.9,2246,3179.5,2823.5,3704.9,2908.3,3343,3463.3
"SND1",11985.5,12083.6,11524.5,16100.4,12888.5,10651.4,8729,9376,9323.5,10644.8,11308.4,15276.9,12842.4,13842.7,11683.3
"DYNC1H1",9367.3,8903.5,8727,11744.2,10292.9,9423.2,7887.1,8509.5,8480.3,9966,9759.2,13377.7,9996.3,11723.5,10692.3
"NUMA1",9033.5,10527.2,11054.8,11319.9,10500.9,9834,8598.6,11027.9,8980.7,9310.9,12023.2,12508.3,12127.1,12244.5,11542.5
"HSPA1A",45.2,40.4,36.8,23.4,37.3,54,77,56.5,70.3,41.4,78.6,35.8,49.4,30.9,63.8
"H1-3",6723,6619.1,6267.5,8168.6,6675.6,7921.2,7761,6583.5,7276.6,7406.3,6115.7,9860.9,7549.7,8621.7,5632
"H1-2",7612.2,6400.1,6357.8,5111.9,6107.9,12227.1,15535.2,13656.2,14328.2,10807.8,6087.7,5356.4,6221.5,6246.3,4998.5
"HNRNPA1",8779.7,8775.4,8582.4,9471.8,9461.2,12125,8089.1,12822.6,11354.5,13848.1,8831.7,8319.4,10087.7,9615.7,9299.8
"PPIA",28346.1,32334.7,33397.4,64604.2,34280.4,30061.4,20271.9,19522.6,19444.8,22212.2,29005.3,50589.1,34353,40678.1,29660.1
"PDIA4",25054.2,22184.1,19620.5,28567.4,25008.6,19955.7,16159.9,16054.5,18293.2,19836.9,16209.5,20322.6,17225.6,18188.7,16486.7
