Gene Symbol,FCP1-D1,FCP2-D1,FCP3-D1,Time,df1,df2,df3,patient
MTHFD1,1.092912162,1.227321441,1.222834844,10,-0.134409279,0.004486597,-0.129922682,1
H2AJ,0.846562793,1.050210914,0.662066652,10,-0.203648121,0.388144262,0.184496141,1
ALDOC,0.910929599,1.3164594,0.641873824,10,-0.405529801,0.674585576,0.269055775,1
LDHA,0.662880273,1.218856437,0.818916696,10,-0.555976164,0.399939741,-0.156036423,1
CAPS,1.131665064,1.257757837,1.376599064,10,-0.126092773,-0.118841227,-0.244934,1
PKP3,1.269355558,1.07618673,1.08147511,10,0.193168828,-0.00528838,0.187880448,1
ANXA4,0.900223245,1.246548743,0.868334236,10,-0.346325498,0.378214507,0.031889009,1
FLNB,0.9296767,1.116447206,1.005812829,10,-0.186770506,0.110634377,-0.076136129,1
RPS7,0.883319765,1.140724416,0.996848336,10,-0.257404651,0.14387608,-0.113528571,1
RPSA,0.98341182,1.086386858,1.177203975,10,-0.102975038,-0.090817117,-0.193792155,1
RPL24,0.960947977,0.990810585,0.979671269,10,-0.029862608,0.011139316,-0.018723292,1
RPL13,0.913888005,1.235900956,1.075789841,10,-0.322012951,0.160111115,-0.161901836,1
TCP1,0.946532151,1.003872073,0.969189378,10,-0.057339922,0.034682695,-0.022657227,1
H3-3A; H3-3B,1.054605264,0.814636359,0.476795999,10,0.239968905,0.33784036,0.577809265,1
ATP1A3,1.119277108,1.613021214,1.075191816,10,-0.493744106,0.537829398,0.044085292,1
RPS3A,0.879922112,1.290307994,0.985169584,10,-0.410385882,0.30513841,-0.105247472,1
H2BC1,1.185544293,0.930265487,0.936325278,10,0.255278806,-0.006059791,0.249219015,1
RPL14,0.894442026,1.047867494,0.982397918,10,-0.153425468,0.065469576,-0.087955892,1
XRCC6,0.989694504,1.274608882,0.932035863,10,-0.284914378,0.342573019,0.057658641,1
ACTBL2,0.906895037,1.587116564,0.896847022,10,-0.680221527,0.690269542,0.010048015,1
TACSTD2,1.176955734,0.959677419,1.270031245,10,0.217278315,-0.310353826,-0.093075511,1
MAP4,1.073853372,1.053180738,1.392069254,10,0.020672634,-0.338888516,-0.318215882,1
RPL18A,0.969243879,1.102580466,1.053036769,10,-0.133336587,0.049543697,-0.08379289,1
EIF4A1,0.942480942,1.246419604,1.070368557,10,-0.303938662,0.176051047,-0.127887615,1
AFDN,1.169636505,1.092303493,1.387613591,10,0.077333012,-0.295310098,-0.217977086,1
DLD,1.055063408,1.422174353,0.8958468,10,-0.367110945,0.526327553,0.159216608,1
CLTA,1.196136047,1.070964025,1.333998819,10,0.125172022,-0.263034794,-0.137862772,1
RPN1,0.8179673,1.066845141,0.786194835,10,-0.248877841,0.280650306,0.031772465,1
RPS14,1.21756986,1.212903489,1.2615183,10,0.004666371,-0.048614811,-0.04394844,1
PCBP1,0.942520265,1.059622061,1.179494683,10,-0.117101796,-0.119872622,-0.236974418,1
JPT2,1.190114487,1.130425316,1.726797641,10,0.059689171,-0.596372325,-0.536683154,1
RUVBL2,0.999219042,1.003772229,1.047035453,10,-0.004553187,-0.043263224,-0.047816411,1
ASRGL1,1.105878567,1.159796998,1.03819134,10,-0.053918431,0.121605658,0.067687227,1
HNRNPL,0.952995468,1.227983738,0.899440161,10,-0.27498827,0.328543577,0.053555307,1
LGALS3BP,0.941682662,1.154019911,1.317556681,10,-0.212337249,-0.16353677,-0.375874019,1
SYNCRIP,0.980297475,1.324457308,0.957502611,10,-0.344159833,0.366954697,0.022794864,1
RPS21,1.198100076,1.240718512,1.428708705,10,-0.042618436,-0.187990193,-0.230608629,1
KRT17,1.387439102,1.329789368,0.624503333,10,0.057649734,0.705286035,0.762935769,1
CFL1,0.859554452,1.27548782,1.164558941,10,-0.415933368,0.110928879,-0.305004489,1
RPL5,0.81354912,1.12326595,0.853881308,10,-0.30971683,0.269384642,-0.040332188,1
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,2
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
,,,,,,,,3
